,开盘价,最高价,最低价,收盘价,前收盘价,涨跌额,涨跌幅(%),成交量(手),成交额(千元)
count,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0
mean,366.7848,372.8861,360.3782,366.0476,365.5297,0.5179,0.1892,324853.5244,12036707.9044
std,50.8135,51.6022,49.0212,49.985,50.3795,8.861,2.4066,114730.4593,4764889.4668
min,260.7,265.18,257.72,260.89,260.89,-27.94,-6.8165,134326.01,3802835.26
25%,348.1075,353.7375,343.3125,346.25,345.85,-4.2575,-1.1515,239990.79,8465694.2315
50%,375.755,381.615,370.085,376.375,376.19,-0.26,-0.0751,313534.535,11465514.911
75%,399.9875,407.625,390.7225,398.2425,398.2425,5.325,1.354,383005.1825,14983545.3958
max,468.75,468.75,448.63,460.0,460.0,29.7,10.3709,780138.92,28517416.468
range,208.05,203.57,190.91,199.11,199.11,57.64,17.1874,645812.91,24714581.208
var,2582.0092,2662.7885,2403.0808,2498.5032,2538.0969,78.5166,5.792,13163078292.3193,22704171630949.344
skew,-0.6622,-0.6891,-0.6993,-0.6941,-0.6881,0.5511,0.7854,0.9794,0.6742
kurt,-0.3615,-0.3452,-0.3772,-0.3447,-0.3888,1.3656,2.1281,1.2976,0.2774
