股票代码,交易日期,开盘价,最高价,最低价,收盘价,前收盘价,涨跌额,涨跌幅(%),成交量(手),成交额(千元)
000858.SZ,2025-07-04,119.29,120.75,119.19,120.39,119.62,0.77,0.6437,170679.3,2049279.008
000858.SZ,2025-07-07,120.21,120.52,119.81,119.91,120.39,-0.48,-0.3987,85810.8,1030097.661
000858.SZ,2025-07-08,119.85,120.87,119.83,120.78,119.91,0.87,0.7255,116631.23,1404970.363
000858.SZ,2025-07-09,120.83,122.85,120.49,121.6,120.78,0.82,0.6789,203495.74,2482658.941
000858.SZ,2025-07-10,121.03,122.88,120.9,122.58,121.6,0.98,0.8059,162716.46,1983620.004
000858.SZ,2025-07-11,122.57,124.98,122.22,124.3,122.58,1.72,1.4032,287189.07,3562808.114
000858.SZ,2025-07-14,124.36,125.54,123.4,125.41,124.3,1.11,0.893,219139.98,2734366.851
000858.SZ,2025-07-15,124.82,125.52,124.32,125.0,125.41,-0.41,-0.3269,193328.39,2415360.2
000858.SZ,2025-07-16,124.6,125.88,124.6,125.28,125.0,0.28,0.224,178699.45,2237883.046
000858.SZ,2025-07-17,125.28,126.11,124.87,125.82,125.28,0.54,0.431,172998.8,2171582.212
000858.SZ,2025-07-18,122.88,124.65,121.86,123.78,122.65,1.13,0.9213,210208.56,2597764.485
000858.SZ,2025-07-21,123.78,123.79,122.25,122.56,123.78,-1.22,-0.9856,187784.33,2304021.397
000858.SZ,2025-07-22,122.56,125.89,122.56,125.53,122.56,2.97,2.4233,303771.65,3784887.03
000858.SZ,2025-07-23,125.7,126.88,125.13,125.2,125.53,-0.33,-0.2629,229067.16,2887980.079
000858.SZ,2025-07-24,125.15,125.76,124.5,125.55,125.2,0.35,0.2796,156012.22,1955643.592
000858.SZ,2025-07-25,125.55,125.6,123.47,123.54,125.55,-2.01,-1.601,184006.74,2284994.445
000858.SZ,2025-07-28,123.52,124.17,122.0,124.06,123.54,0.52,0.4209,178511.06,2196293.738
000858.SZ,2025-07-29,123.5,123.99,122.2,123.52,124.06,-0.54,-0.4353,185150.92,2276717.869
000858.SZ,2025-07-30,123.56,125.15,123.28,124.52,123.52,1.0,0.8096,224124.27,2789922.636
000858.SZ,2025-07-31,124.02,124.1,120.85,121.15,124.52,-3.37,-2.7064,304687.35,3717607.979
000858.SZ,2025-08-01,121.14,121.62,120.39,121.0,121.15,-0.15,-0.1238,123225.95,1491109.255
000858.SZ,2025-08-04,120.63,121.23,120.45,120.92,121.0,-0.08,-0.0661,85933.14,1038364.798
000858.SZ,2025-08-05,120.95,122.22,120.95,121.95,120.92,1.03,0.8518,139445.54,1698256.512
000858.SZ,2025-08-06,121.97,122.5,121.49,122.16,121.95,0.21,0.1722,119683.59,1460865.583
000858.SZ,2025-08-07,122.13,123.14,121.95,122.55,122.16,0.39,0.3193,115702.86,1419842.885
000858.SZ,2025-08-08,122.55,122.88,121.96,122.22,122.55,-0.33,-0.2693,82425.59,1008572.356
000858.SZ,2025-08-11,122.15,124.35,122.11,123.94,122.22,1.72,1.4073,182660.39,2257903.784
000858.SZ,2025-08-12,123.9,125.33,123.01,123.19,123.94,-0.75,-0.6051,211373.75,2625229.654
