股票代码,交易日期,开盘价,最高价,最低价,收盘价,前收盘价,涨跌额,涨跌幅(%),成交量(手),成交额(千元)
000001.SZ,2025-07-04,12.35,12.72,12.3,12.6,12.35,0.25,2.0243,1775332.67,2224874.056
000001.SZ,2025-07-07,12.6,12.82,12.6,12.78,12.6,0.18,1.4286,1495406.53,1901755.851
000001.SZ,2025-07-08,12.75,12.84,12.65,12.69,12.78,-0.09,-0.7042,1090985.97,1387093.602
000001.SZ,2025-07-09,12.66,12.9,12.66,12.84,12.69,0.15,1.182,1205963.3,1542699.035
000001.SZ,2025-07-10,12.82,13.33,12.79,13.18,12.84,0.34,2.648,2481415.53,3249454.029
000001.SZ,2025-07-11,13.19,13.3,12.89,12.91,13.18,-0.27,-2.0486,2443743.5,3200219.566
000001.SZ,2025-07-14,12.87,13.17,12.86,12.98,12.91,0.07,0.5422,1872895.85,2440924.105
000001.SZ,2025-07-15,12.99,13.04,12.71,12.73,12.98,-0.25,-1.926,1810531.31,2322277.285
000001.SZ,2025-07-16,12.73,12.76,12.5,12.64,12.73,-0.09,-0.707,1927863.79,2424983.973
000001.SZ,2025-07-17,12.61,12.7,12.54,12.59,12.64,-0.05,-0.3956,944641.4,1189666.227
000001.SZ,2025-07-18,12.62,12.75,12.6,12.7,12.59,0.11,0.8737,1241206.11,1574176.824
000001.SZ,2025-07-21,12.64,12.71,12.55,12.61,12.7,-0.09,-0.7087,1079026.62,1360155.719
000001.SZ,2025-07-22,12.6,12.6,12.32,12.49,12.61,-0.12,-0.9516,1935229.16,2408337.286
000001.SZ,2025-07-23,12.46,12.63,12.45,12.53,12.49,0.04,0.3203,1370520.0,1719158.803
000001.SZ,2025-07-24,12.53,12.53,12.33,12.35,12.53,-0.18,-1.4366,1959350.57,2426175.236
000001.SZ,2025-07-25,12.33,12.46,12.32,12.35,12.35,0.0,0.0,1108266.66,1372103.731
000001.SZ,2025-07-28,12.35,12.53,12.32,12.46,12.35,0.11,0.8907,1238242.78,1541317.047
000001.SZ,2025-07-29,12.46,12.51,12.34,12.34,12.46,-0.12,-0.9631,1012818.01,1255113.972
000001.SZ,2025-07-30,12.35,12.64,12.34,12.49,12.34,0.15,1.2156,1715163.6,2149934.405
000001.SZ,2025-07-31,12.51,12.55,12.22,12.23,12.49,-0.26,-2.0817,1690081.25,2079630.602
000001.SZ,2025-08-01,12.24,12.33,12.15,12.28,12.23,0.05,0.4088,1012186.98,1240239.18
000001.SZ,2025-08-04,12.24,12.38,12.21,12.3,12.28,0.02,0.1629,1032689.69,1271376.407
