交易日期,收盘价,上轨(前20日高),下轨(前10日低),ATR,信号(1买/-1卖/0无),持仓(1/0),退出原因,策略日收益率,累计收益率,策略净值,回撤幅度
2025-07-04,265.8,,,9.0,0,0,,0.0,0.0,100000.0,0.0
2025-07-07,260.89,,,9.049999999999999,0,0,,0.0,0.0,100000.0,0.0
2025-07-08,263.31,,,8.901499999999999,0,0,,0.0,0.0,100000.0,0.0
2025-07-09,270.8,,,9.074424999999996,0,0,,0.0,0.0,100000.0,0.0
2025-07-10,272.0,,,8.945203749999996,0,0,,0.0,0.0,100000.0,0.0
2025-07-11,271.5,,,8.692943562499995,0,0,,0.0,0.0,100000.0,0.0
2025-07-14,268.5,,,8.528296384374993,0,0,,0.0,0.0,100000.0,0.0
2025-07-15,267.75,,,8.426881565156243,0,0,,0.0,0.0,100000.0,0.0
2025-07-16,264.4,,,8.288537486898429,0,0,,0.0,0.0,100000.0,0.0
2025-07-17,265.5,,,8.043610612553506,0,0,,0.0,0.0,100000.0,0.0
2025-07-18,271.2,,258.88,7.9889300819258295,0,0,,0.0,0.0,100000.0,0.0
2025-07-21,279.66,,258.88,8.129483577829538,0,0,,0.0,0.0,100000.0,0.0
2025-07-22,286.66,,259.82,8.264009398938061,0,0,,0.0,0.0,100000.0,0.0
2025-07-23,287.02,,262.1,8.058808928991159,0,0,,0.0,0.0,100000.0,0.0
2025-07-24,285.2,,263.04,7.970368482541598,0,0,,0.0,0.0,100000.0,0.0
2025-07-25,282.8,,263.04,7.7443500584145175,0,0,,0.0,0.0,100000.0,0.0
2025-07-28,286.3,,263.04,7.74663255549379,0,0,,0.0,0.0,100000.0,0.0
2025-07-29,291.82,,263.04,7.644300927719099,0,0,,0.0,0.0,100000.0,0.0
2025-07-30,277.09,,263.04,8.054085881333142,0,0,,0.0,0.0,100000.0,0.0
2025-07-31,264.62,,264.36,8.519381587266485,0,0,,0.0,0.0,100000.0,0.0
2025-08-01,263.07,292.2,264.62,8.285912507903161,0,0,,0.0,0.0,100000.0,0.0
2025-08-04,266.48,292.2,262.75,8.186616882508003,0,0,,0.0,0.0,100000.0,0.0
2025-08-05,265.7,292.2,261.7,8.052286038382602,0,0,,0.0,0.0,100000.0,0.0
2025-08-06,265.0,292.2,261.7,7.83317173646347,0,0,,0.0,0.0,100000.0,0.0
2025-08-07,263.05,292.2,261.7,7.656013149640297,0,0,,0.0,0.0,100000.0,0.0
2025-08-08,263.48,292.2,261.7,7.4807124921582835,0,0,,0.0,0.0,100000.0,0.0
2025-08-11,263.66,292.2,261.7,7.289176867550368,0,0,,0.0,0.0,100000.0,0.0
2025-08-12,263.25,292.2,261.7,7.297718024172848,0,0,,0.0,0.0,100000.0,0.0
2025-08-13,273.6,292.2,257.72,7.520332122964206,0,0,,0.0,0.0,100000.0,0.0
2025-08-14,279.89,292.2,257.72,7.564315516815994,0,0,,0.0,0.0,100000.0,0.0
2025-08-15,280.67,292.2,257.72,7.496099740975193,0,0,,0.0,0.0,100000.0,0.0
2025-08-18,283.0,292.2,257.72,7.494294753926435,0,0,,0.0,0.0,100000.0,0.0
2025-08-19,277.8,292.2,257.72,7.508580016230112,0,0,,0.0,0.0,100000.0,0.0
2025-08-20,279.2,292.2,257.72,7.530151015418606,0,0,,0.0,0.0,100000.0,0.0
2025-08-21,279.0,292.2,257.72,7.343643464647676,0,0,,0.0,0.0,100000.0,0.0
2025-08-22,287.18,292.2,257.72,7.513961291415292,0,0,,0.0,0.0,100000.0,0.0
2025-08-25,290.28,292.2,257.72,7.493263226844528,0,0,,0.0,0.0,100000.0,0.0
