指标,样本内_最优,样本外_最优,样本外_默认5_15
累计收益,6.083905447008836,0.1812097212233399,0.24729660645438756
年化收益,0.4033389920842767,0.11775316315445727,0.15917641148499762
年化波动,0.2809711009044253,0.24159974346698945,0.25261979731628703
夏普,1.237406182909613,0.45489893900848827,0.5898532300403423
索提诺,0.08875386985883385,0.03220234030581277,0.041504741804246396
最大回撤,-0.3916514199283962,-0.19721709231992565,-0.14718824315367426
最大回撤时长(日),747.0,168.0,193.0
基准累计,2.6111865327179062,0.48006028286575786,0.48006028286575786
基准年化,0.24886741032601667,0.2996329572946601,0.2996329572946601
基准波动,0.49274215837578567,0.373590674458455,0.373590674458455
基准最大回撤,-0.7954215116279069,-0.24182608695652166,-0.24182608695652166
交易次数,53.0,12.0,16.0
日胜率,0.16483516483516483,0.13793103448275862,0.15384615384615385
VaR95,-0.02249154949926649,-0.02304434168114404,-0.022797968395131884
VaR99,-0.04518630618254592,-0.037152461692037904,-0.04304724733739701
CVaR95,-0.03687667349581056,-0.03348691797390851,-0.034753586490097
Beta,0.36288014153212966,0.4277412431498739,0.46365815206317784
年化换手率,9.173076923076923,8.021220159151193,10.694960212201591
Calmar,1.0298417714354702,0.5970738224019552,1.0814478661777824
