交易日期,开盘价,最高价,最低价,收盘价,前收盘价,涨跌额,涨跌幅(%),成交量(手),成交额(千元)
20190102,74.25,74.97,73.53,73.66,73.8,-0.14,-0.1897,43940.96,326259.378
20190103,72.51,74.54,72.51,73.83,73.66,0.17,0.2308,44949.03,332238.737
20190104,73.33,77.24,73.23,76.96,73.83,3.13,4.2395,79053.31,602100.011
20190107,76.94,77.65,76.3,77.42,76.96,0.46,0.5977,59695.59,460577.318
20190108,77.22,79.45,77.2,79.33,77.42,1.91,2.4671,85749.9,674107.579
20190109,77.0,78.21,75.18,77.98,79.33,-1.35,-1.7018,123798.79,952624.089
20190110,77.64,77.85,76.02,76.28,77.98,-1.7,-2.18,83942.73,644858.368
20190111,76.6,76.75,74.8,75.29,76.28,-0.99,-1.2979,61367.03,463701.25
20190114,75.3,76.33,74.3,76.08,75.29,0.79,1.0493,48487.95,366505.969
20190115,76.0,77.48,74.85,77.37,76.08,1.29,1.6956,58736.35,448317.233
20190116,76.9,77.2,76.41,76.67,77.37,-0.7,-0.9047,25738.62,197749.843
20190117,76.95,77.69,76.41,76.66,76.67,-0.01,-0.013,37188.09,286721.586
20190118,77.16,77.16,74.0,75.4,76.66,-1.26,-1.6436,65039.27,488797.282
20190121,75.03,75.63,74.26,75.24,75.4,-0.16,-0.2122,52411.59,392168.954
20190122,75.0,75.67,74.03,74.27,75.24,-0.97,-1.2892,42588.58,318440.028
20190123,74.26,75.66,74.01,75.44,74.27,1.17,1.5753,48847.98,367089.066
20190124,75.0,75.86,74.7,75.17,75.44,-0.27,-0.3579,37984.18,286305.027
20190125,75.64,78.79,75.17,77.44,75.17,2.27,3.0198,91189.56,707431.983
20190128,78.1,78.26,76.02,76.07,77.44,-1.37,-1.7691,46288.93,355879.562
20190129,76.26,77.39,74.1,76.68,76.07,0.61,0.8019,52363.13,395374.218
20190130,74.33,77.36,73.61,76.2,76.68,-0.48,-0.626,77077.82,583430.175
20190131,76.27,77.77,76.05,76.12,76.2,-0.08,-0.105,44127.55,339614.007
20190201,76.67,79.17,76.2,78.4,76.12,2.28,2.9953,62144.11,483480.057
20190211,78.99,81.38,78.98,81.0,78.4,2.6,3.3163,83433.27,670709.803
20190212,80.5,81.6,80.03,81.0,81.0,0.0,0.0,49891.21,402647.822
20190213,80.8,83.57,80.37,81.7,81.0,0.7,0.8642,78771.77,647619.276
20190214,81.5,88.88,81.35,84.72,81.7,3.02,3.6965,127233.14,1084873.164
20190215,84.4,86.0,82.4,82.42,84.72,-2.3,-2.7148,105153.13,880799.439
20190218,83.15,84.88,82.56,84.46,82.42,2.04,2.4751,87787.2,735318.29
20190219,84.66,84.78,81.8,82.29,84.46,-2.17,-2.5693,94257.86,782086.064
20190220,82.8,84.5,82.1,83.17,82.29,0.88,1.0694,60674.42,506750.853
20190221,82.7,84.87,82.3,83.33,83.17,0.16,0.1924,82287.72,690870.555
20190222,83.0,85.3,82.11,84.37,83.33,1.04,1.248,89600.36,752183.5
20190225,85.77,91.66,85.77,91.32,84.37,6.95,8.2375,154113.02,1380347.01
20190226,90.0,90.8,87.68,88.5,91.32,-2.82,-3.088,113242.11,1009210.794
20190227,87.7,89.39,85.3,86.05,88.5,-2.45,-2.7684,91037.9,795251.089
20190228,86.01,89.18,86.01,87.7,86.05,1.65,1.9175,72399.18,637896.402
20190301,91.1,92.88,89.4,90.03,87.7,2.33,2.6568,96192.84,873963.51
20190304,91.5,95.16,90.73,92.39,90.03,2.36,2.6213,140369.47,1306102.15
20190305,92.38,92.98,91.2,92.6,92.39,0.21,0.2273,86156.92,793012.158
20190306,93.12,93.8,89.38,91.2,92.6,-1.4,-1.5119,104329.22,949501.268
20190307,90.85,90.85,86.68,87.89,91.2,-3.31,-3.6294,137071.48,1210805.141
20190308,86.0,88.3,84.72,84.97,87.89,-2.92,-3.3223,110696.63,951944.818
20190311,84.73,88.18,84.55,87.92,84.97,2.95,3.4718,93546.58,813096.537
20190312,91.6,93.85,89.21,91.07,87.92,3.15,3.5828,147634.35,1352038.771
20190313,90.99,90.99,87.71,88.08,91.07,-2.99,-3.2832,75777.21,674377.765
20190314,87.98,90.48,87.32,88.95,88.08,0.87,0.9877,79825.75,710913.722
20190315,90.01,91.4,88.97,89.83,88.95,0.88,0.9893,78215.43,707054.564
20190318,89.89,90.0,87.9,89.28,89.83,-0.55,-0.6123,72757.62,646068.126
20190319,89.15,91.88,88.0,88.6,89.28,-0.68,-0.7616,68170.28,611077.097
20190320,88.5,88.5,85.82,87.17,88.6,-1.43,-1.614,88141.18,764749.351
20190321,87.0,88.4,85.95,87.12,87.17,-0.05,-0.0574,81359.6,707343.505
20190322,87.12,87.12,85.21,86.58,87.12,-0.54,-0.6198,60189.92,518360.062
20190325,87.97,90.58,87.02,89.0,86.58,2.42,2.7951,129906.46,1158349.085
20190326,88.02,88.49,84.9,85.3,89.0,-3.7,-4.1573,97197.83,836361.947
20190327,85.5,86.54,82.3,83.41,85.3,-1.89,-2.2157,94921.22,795590.922
20190328,83.34,84.36,82.1,83.2,83.41,-0.21,-0.2518,58571.93,487897.668
20190329,83.42,85.0,82.65,85.0,83.2,1.8,2.1635,71241.26,598855.278
