交易日期,开盘价,最高价,最低价,收盘价,前收盘价,涨跌额,涨跌幅(%),成交量(手),成交额(千元)
20190102,3017.0674,3018.7759,2958.4883,2969.5353,3010.6536,-41.1183,-1.3658,68663021.0,76105571.2778
20190103,2963.0186,3000.4413,2953.2548,2964.8421,2969.5353,-4.6932,-0.158,70867103.0,76664797.3934
20190104,2940.1916,3036.8147,2935.8295,3035.8741,2964.8421,71.032,2.3958,103318972.0,107141037.0881
20190107,3055.1535,3061.749,3035.9123,3054.303,3035.8741,18.4289,0.607,101164359.0,105703940.7906
20190108,3049.8747,3055.51,3038.5339,3047.7035,3054.303,-6.5995,-0.2161,86170585.0,79628882.6642
20190109,3065.2307,3117.9614,3062.8474,3078.4759,3047.7035,30.7724,1.0097,107364350.0,117129678.9057
20190110,3077.4817,3092.5411,3062.5721,3072.6864,3078.4759,-5.7895,-0.1881,85271756.0,90206871.737
20190111,3082.2615,3102.8333,3071.0264,3094.7782,3072.6864,22.0918,0.719,71786424.0,77420239.5785
20190114,3092.4984,3097.4064,3064.3827,3067.7845,3094.7782,-26.9937,-0.8722,66121702.0,68115969.0945
20190115,3071.5185,3129.3708,3064.6705,3127.9904,3067.7845,60.2059,1.9625,88772962.0,99976891.1441
20190116,3126.1347,3135.0117,3117.2926,3128.6517,3127.9904,0.6613,0.0211,80214341.0,85781591.7911
20190117,3132.6285,3141.7099,3110.0608,3111.4168,3128.6517,-17.2349,-0.5509,80174871.0,82888206.9861
20190118,3124.5025,3171.6864,3120.3458,3168.1739,3111.4168,56.7571,1.8242,103963834.0,106780658.4908
20190121,3170.8773,3199.2134,3170.8773,3185.6364,3168.1739,17.4625,0.5512,93915022.0,105536986.5797
20190122,3181.9494,3181.9494,3135.3378,3143.3171,3185.6364,-42.3193,-1.3284,72990528.0,78150876.3127
20190123,3136.096,3157.6269,3131.8673,3141.0532,3143.3171,-2.2639,-0.072,59870478.0,62669652.004
20190124,3146.6046,3165.6296,3125.3008,3158.7817,3141.0532,17.7285,0.5644,72934636.0,80963877.2187
20190125,3165.1814,3203.1747,3164.4082,3184.4696,3158.7817,25.6879,0.8132,83967729.0,93207954.7478
20190128,3203.1189,3228.8678,3174.7243,3183.7777,3184.4696,-0.6919,-0.0217,82622431.0,97371496.1471
20190129,3177.261,3200.9898,3148.2345,3193.9698,3183.7777,10.1921,0.3201,77658334.0,85943908.59
20190130,3181.6551,3202.896,3167.8934,3168.4829,3193.9698,-25.4869,-0.798,63746517.0,73005123.4471
20190131,3182.6987,3216.0673,3178.0105,3201.6331,3168.4829,33.1502,1.0462,86247839.0,97509924.771
20190201,3225.7335,3247.4956,3207.7168,3247.3971,3201.6331,45.764,1.4294,82019641.0,94766412.7628
20190211,3239.8079,3307.0638,3239.8079,3306.4725,3247.3971,59.0754,1.8192,98818434.0,114752354.8211
20190212,3306.3523,3335.3606,3298.6337,3330.3353,3306.4725,23.8628,0.7217,122232462.0,122834101.0068
20190213,3337.7794,3405.5773,3329.1436,3397.0276,3330.3353,66.6923,2.0026,163828332.0,168866262.062
20190214,3392.8547,3415.3994,3381.9821,3402.1403,3397.0276,5.1127,0.1505,151127290.0,138649287.9707
20190215,3391.242,3395.0294,3335.8705,3338.7047,3402.1403,-63.4356,-1.8646,143668603.0,141555060.9475
20190218,3366.423,3445.7448,3366.423,3445.7448,3338.7047,107.0401,3.206,182886089.0,180449742.5442
20190219,3454.7216,3480.7938,3419.0731,3439.6078,3445.7448,-6.137,-0.1781,179083785.0,185762746.553
20190220,3449.9321,3463.7735,3421.505,3451.9273,3439.6078,12.3195,0.3582,147390311.0,145570263.0699
20190221,3450.1411,3500.2519,3431.631,3442.7056,3451.9273,-9.2217,-0.2671,180143287.0,185197154.7846
20190222,3439.3781,3520.1182,3417.9784,3520.1182,3442.7056,77.4126,2.2486,187237974.0,202869288.7084
20190225,3575.8528,3729.4831,3574.6885,3729.4831,3520.1182,209.3649,5.9477,342557122.0,376382393.4332
20190226,3734.7059,3762.1128,3679.2705,3684.6935,3729.4831,-44.7896,-1.201,358038698.0,387632860.0752
20190227,3682.8116,3737.6317,3638.3334,3678.3921,3684.6935,-6.3014,-0.171,286236007.0,307306148.1388
20190228,3675.2642,3695.4646,3650.0537,3669.3703,3678.3921,-9.0218,-0.2453,184810220.0,206010958.1846
20190301,3699.2157,3749.7143,3668.7653,3749.7143,3669.3703,80.344,2.1896,204711004.0,235620623.4881
20190304,3783.0367,3886.5797,3764.7764,3794.104,3749.7143,44.3897,1.1838,323490126.0,376397284.7059
20190305,3785.3762,3816.1621,3770.7858,3816.0132,3794.104,21.9092,0.5775,230853166.0,261464122.2116
20190306,3822.8588,3855.1556,3787.5225,3848.0903,3816.0132,32.0771,0.8406,318077371.0,331155616.598
20190307,3841.1456,3845.182,3778.8004,3808.8497,3848.0903,-39.2406,-1.0197,329846548.0,359339152.9161
20190308,3721.4016,3774.5431,3656.1917,3657.579,3808.8497,-151.2707,-3.9716,317990077.0,349296691.2269
20190311,3663.9772,3731.9091,3650.8125,3729.9546,3657.579,72.3756,1.9788,230912865.0,268718458.8045
20190312,3758.3151,3804.72,3723.6785,3755.3519,3729.9546,25.3973,0.6809,274926382.0,325180619.7587
20190313,3758.713,3763.0926,3708.8145,3724.1941,3755.3519,-31.1578,-0.8297,233682248.0,286171048.1597
20190314,3710.2934,3747.819,3673.8509,3698.4858,3724.1941,-25.7083,-0.6903,190817237.0,231820149.3895
20190315,3713.936,3782.2364,3713.936,3745.005,3698.4858,46.5192,1.2578,175174544.0,224194362.9247
20190318,3753.6436,3851.7479,3733.6781,3851.7479,3745.005,106.7429,2.8503,216928060.0,276473448.8696
20190319,3856.5885,3868.335,3815.2187,3833.9626,3851.7479,-17.7853,-0.4617,181727110.0,224096889.6337
20190320,3825.3356,3855.1465,3790.5119,3835.4397,3833.9626,1.4771,0.0385,175632090.0,215406993.6015
20190321,3840.2783,3864.0696,3823.4661,3836.8913,3835.4397,1.4516,0.0378,196310310.0,231993445.6015
20190322,3838.1255,3845.5808,3786.5917,3833.8013,3836.8913,-3.09,-0.0805,171356993.0,198518386.3186
20190325,3776.4426,3807.1793,3741.6062,3742.8252,3833.8013,-90.9761,-2.373,198586329.0,223396564.361
20190326,3766.5287,3770.843,3687.5472,3700.4388,3742.8252,-42.3864,-1.1325,173046579.0,196547811.1788
20190327,3724.4058,3750.2642,3703.4508,3743.3878,3700.4388,42.949,1.1606,138758454.0,177507528.4423
20190328,3731.0612,3755.716,3710.0814,3728.3953,3743.3878,-14.9925,-0.4005,133272129.0,172604392.9075
20190329,3739.7739,3876.379,3739.7739,3872.3412,3728.3953,143.9459,3.8608,215639103.0,283022298.6482
20190401,3901.1698,3982.9091,3901.1698,3973.928,3872.3412,101.5868,2.6234,271382704.0,340799403.5731
20190402,3986.3443,3988.0975,3956.5059,3971.2852,3973.928,-2.6428,-0.0665,226000341.0,281892057.021
20190403,3947.8697,4026.4972,3939.7837,4022.1566,3971.2852,50.8714,1.281,231917368.0,284826495.4454
20190404,4039.7415,4072.1138,4021.7055,4062.2309,4022.1566,40.0743,0.9963,260410939.0,313539431.3775
20190408,4097.1027,4122.6034,4017.4887,4057.2286,4062.2309,-5.0023,-0.1231,267505576.0,324670452.5226
20190409,4063.8139,4084.243,4038.2825,4075.4301,4057.2286,18.2015,0.4486,182956808.0,243187913.1279
20190410,4062.4425,4115.378,4035.4741,4085.847,4075.4301,10.4169,0.2556,194687613.0,278282025.0515
20190411,4083.4618,4097.1249,3990.239,3997.5778,4085.847,-88.2692,-2.1604,169049641.0,236259156.7189
