交易日期,收盘价,RSI,信号(1买/-1卖/0无),策略净值,回撤幅度
2025-07-04,265.80,,0,100000.00,0.00
2025-07-07,260.89,,0,100000.00,0.00
2025-07-08,263.31,,0,100000.00,0.00
2025-07-09,270.80,,0,100000.00,0.00
2025-07-10,272.00,,0,100000.00,0.00
2025-07-11,271.50,,0,100000.00,0.00
2025-07-14,268.50,,0,100000.00,0.00
2025-07-15,267.75,,0,100000.00,0.00
2025-07-16,264.40,,0,100000.00,0.00
2025-07-17,265.50,,0,100000.00,0.00
2025-07-18,271.20,,0,100000.00,0.00
2025-07-21,279.66,,0,100000.00,0.00
2025-07-22,286.66,,0,100000.00,0.00
2025-07-23,287.02,,0,100000.00,0.00
2025-07-24,285.20,70.18,0,100000.00,0.00
2025-07-25,282.80,66.60,0,100000.00,0.00
2025-07-28,286.30,69.08,0,100000.00,0.00
2025-07-29,291.82,72.54,0,100000.00,0.00
2025-07-30,277.09,54.89,0,100000.00,0.00
2025-07-31,264.62,44.92,0,100000.00,0.00
2025-08-01,263.07,43.85,0,100000.00,0.00
2025-08-04,266.48,46.84,0,100000.00,0.00
2025-08-05,265.70,46.24,0,100000.00,0.00
2025-08-06,265.00,45.67,0,100000.00,0.00
2025-08-07,263.05,44.03,0,100000.00,0.00
2025-08-08,263.48,44.50,0,100000.00,0.00
2025-08-11,263.66,44.71,0,100000.00,0.00
2025-08-12,263.25,44.30,0,100000.00,0.00
2025-08-13,273.60,55.43,0,100000.00,0.00
2025-08-14,279.89,60.59,0,100000.00,0.00
2025-08-15,280.67,61.19,0,100000.00,0.00
2025-08-18,283.00,63.00,0,100000.00,0.00
2025-08-19,277.80,56.65,0,100000.00,0.00
2025-08-20,279.20,57.88,0,100000.00,0.00
2025-08-21,279.00,57.63,0,100000.00,0.00
2025-08-22,287.18,64.44,0,100000.00,0.00
2025-08-25,290.28,66.63,0,100000.00,0.00
2025-08-26,289.50,65.54,0,100000.00,0.00
2025-08-27,278.30,52.27,0,100000.00,0.00
2025-08-28,277.41,51.38,0,100000.00,0.00
2025-08-29,306.18,69.47,0,100000.00,0.00
2025-09-01,304.00,67.43,0,100000.00,0.00
2025-09-02,302.87,66.34,0,100000.00,0.00
2025-09-03,309.00,69.24,0,100000.00,0.00
2025-09-04,304.03,64.39,0,100000.00,0.00
2025-09-05,325.11,73.03,0,100000.00,0.00
2025-09-08,325.37,73.12,0,100000.00,0.00
2025-09-09,320.00,68.24,0,100000.00,0.00
2025-09-10,316.04,64.81,0,100000.00,0.00
2025-09-11,322.55,67.68,0,100000.00,0.00
2025-09-12,325.00,68.72,0,100000.00,0.00
2025-09-15,354.70,77.95,0,100000.00,0.00
2025-09-16,353.42,76.90,0,100000.00,0.00
2025-09-17,377.10,81.80,0,100000.00,0.00
2025-09-18,366.89,74.47,0,100000.00,0.00
2025-09-19,368.49,74.85,0,100000.00,0.00
2025-09-22,370.05,75.23,0,100000.00,0.00
2025-09-23,368.15,73.74,0,100000.00,0.00
2025-09-24,379.93,76.81,0,100000.00,0.00
2025-09-25,392.85,79.62,0,100000.00,0.00
2025-09-26,380.40,70.72,0,100000.00,0.00
2025-09-29,397.37,74.85,0,100000.00,0.00
2025-09-30,402.00,75.85,0,100000.00,0.00
2025-10-09,409.89,77.49,0,100000.00,0.00
2025-10-10,381.95,61.53,0,100000.00,0.00
2025-10-13,374.50,58.10,0,100000.00,0.00
2025-10-14,358.00,51.27,0,100000.00,0.00
2025-10-15,369.30,55.15,0,100000.00,0.00
2025-10-16,368.50,54.82,0,100000.00,0.00
2025-10-17,358.14,50.56,0,100000.00,0.00
2025-10-20,366.50,53.69,0,100000.00,0.00
2025-10-21,375.90,56.98,0,100000.00,0.00
2025-10-22,372.86,55.61,0,100000.00,0.00
2025-10-23,376.45,56.93,0,100000.00,0.00
2025-10-24,385.77,60.25,0,100000.00,0.00
2025-10-27,386.18,60.39,0,100000.00,0.00
2025-10-28,386.48,60.51,0,100000.00,0.00
2025-10-29,400.00,65.32,0,100000.00,0.00
2025-10-30,398.29,64.25,0,100000.00,0.00
2025-10-31,388.77,58.52,0,100000.00,0.00
2025-11-03,386.86,57.42,0,100000.00,0.00
2025-11-04,378.95,52.96,0,100000.00,0.00
2025-11-05,388.70,57.36,0,100000.00,0.00
2025-11-06,394.68,59.84,0,100000.00,0.00
