交易日期,收盘价,动量(%),信号(1买/-1卖/0无),策略净值,回撤幅度
2025-07-04,265.80,,0,100000.00,0.00
2025-07-07,260.89,,0,100000.00,0.00
2025-07-08,263.31,,0,100000.00,0.00
2025-07-09,270.80,,0,100000.00,0.00
2025-07-10,272.00,,0,100000.00,0.00
2025-07-11,271.50,,0,100000.00,0.00
2025-07-14,268.50,,0,100000.00,0.00
2025-07-15,267.75,,0,100000.00,0.00
2025-07-16,264.40,,0,100000.00,0.00
2025-07-17,265.50,,0,100000.00,0.00
2025-07-18,271.20,,0,100000.00,0.00
2025-07-21,279.66,,0,100000.00,0.00
2025-07-22,286.66,,0,100000.00,0.00
2025-07-23,287.02,,0,100000.00,0.00
2025-07-24,285.20,,0,100000.00,0.00
2025-07-25,282.80,,0,100000.00,0.00
2025-07-28,286.30,,0,100000.00,0.00
2025-07-29,291.82,,0,100000.00,0.00
2025-07-30,277.09,,0,100000.00,0.00
2025-07-31,264.62,,0,100000.00,0.00
2025-08-01,263.07,-1.03,0,100000.00,0.00
2025-08-04,266.48,2.14,1,100000.00,0.00
2025-08-05,265.70,0.91,0,99707.30,-0.29
2025-08-06,265.00,-2.14,-1,99444.61,-0.56
2025-08-07,263.05,-3.29,0,99444.61,-0.56
2025-08-08,263.48,-2.95,0,99444.61,-0.56
2025-08-11,263.66,-1.80,0,99444.61,-0.56
2025-08-12,263.25,-1.68,0,99444.61,-0.56
2025-08-13,273.60,3.48,1,99444.61,-0.56
2025-08-14,279.89,5.42,0,101730.82,0.00
2025-08-15,280.67,3.49,0,102014.32,0.00
2025-08-18,283.00,1.19,0,102861.20,0.00
2025-08-19,277.80,-3.09,-1,100971.17,-1.84
2025-08-20,279.20,-2.72,0,100971.17,-1.84
2025-08-21,279.00,-2.17,0,100971.17,-1.84
2025-08-22,287.18,1.55,1,100971.17,-1.84
2025-08-25,290.28,1.39,0,102061.12,-0.78
2025-08-26,289.50,-0.80,-1,101786.87,-1.04
2025-08-27,278.30,0.44,1,101786.87,-1.04
2025-08-28,277.41,4.83,0,101461.36,-1.36
2025-08-29,306.18,16.39,0,111983.85,0.00
2025-09-01,304.00,14.08,0,111186.52,-0.71
2025-09-02,302.87,13.99,0,110773.23,-1.08
2025-09-03,309.00,16.60,0,113015.25,0.00
2025-09-04,304.03,15.58,0,111197.50,-1.61
2025-09-05,325.11,23.39,0,118907.40,0.00
2025-09-08,325.37,23.41,0,119002.50,0.00
2025-09-09,320.00,21.56,0,117038.45,-1.65
2025-09-10,316.04,15.51,0,115590.10,-2.87
2025-09-11,322.55,15.24,0,117971.10,-0.87
2025-09-12,325.00,15.79,0,118867.17,-0.11
2025-09-15,354.70,25.34,0,129729.80,0.00
2025-09-16,353.42,27.22,0,129261.65,-0.36
2025-09-17,377.10,35.06,0,137922.50,0.00
2025-09-18,366.89,31.50,0,134188.24,-2.71
2025-09-19,368.49,28.31,0,134773.43,-2.28
2025-09-22,370.05,27.48,0,135343.99,-1.87
2025-09-23,368.15,27.17,0,134649.08,-2.37
2025-09-24,379.93,36.52,0,138957.55,0.00
2025-09-25,392.85,41.61,0,143682.98,0.00
2025-09-26,380.40,24.24,0,139129.45,-3.17
2025-09-29,397.37,30.71,0,145336.15,0.00
2025-09-30,402.00,32.73,0,147029.55,0.00
2025-10-09,409.89,32.65,0,149915.28,0.00
2025-10-10,381.95,25.63,0,139696.36,-6.82
2025-10-13,374.50,15.19,0,136971.56,-8.63
2025-10-14,358.00,10.03,0,130936.76,-12.66
2025-10-15,369.30,15.41,0,135069.68,-9.90
2025-10-16,368.50,16.60,0,134777.09,-10.10
2025-10-17,358.14,11.03,0,130987.97,-12.63
2025-10-20,366.50,12.77,0,134045.60,-10.59
2025-10-21,375.90,5.98,0,137483.60,-8.29
2025-10-22,372.86,5.50,0,136371.74,-9.03
2025-10-23,376.45,-0.17,-1,137684.76,-8.16
2025-10-24,385.77,5.15,1,137684.76,-8.16
2025-10-27,386.18,4.80,0,137831.09,-8.06
2025-10-28,386.48,4.44,0,137938.17,-7.99
2025-10-29,400.00,8.65,0,142763.58,-4.77
2025-10-30,398.29,4.83,0,142153.26,-5.18
2025-10-31,388.77,-1.04,-1,138755.49,-7.44
2025-11-03,386.86,1.70,1,138755.49,-7.44
2025-11-04,378.95,-4.64,-1,135918.40,-9.34
