交易日期,收盘价,MA20,上轨,下轨,信号(1买/-1卖/0无),策略净值,回撤幅度
2025-07-04,265.80,,,,0,100000.00,0.00
2025-07-07,260.89,,,,0,100000.00,0.00
2025-07-08,263.31,,,,0,100000.00,0.00
2025-07-09,270.80,,,,0,100000.00,0.00
2025-07-10,272.00,,,,0,100000.00,0.00
2025-07-11,271.50,,,,0,100000.00,0.00
2025-07-14,268.50,,,,0,100000.00,0.00
2025-07-15,267.75,,,,0,100000.00,0.00
2025-07-16,264.40,,,,0,100000.00,0.00
2025-07-17,265.50,,,,0,100000.00,0.00
2025-07-18,271.20,,,,0,100000.00,0.00
2025-07-21,279.66,,,,0,100000.00,0.00
2025-07-22,286.66,,,,0,100000.00,0.00
2025-07-23,287.02,,,,0,100000.00,0.00
2025-07-24,285.20,,,,0,100000.00,0.00
2025-07-25,282.80,,,,0,100000.00,0.00
2025-07-28,286.30,,,,0,100000.00,0.00
2025-07-29,291.82,,,,0,100000.00,0.00
2025-07-30,277.09,,,,0,100000.00,0.00
2025-07-31,264.62,274.14,292.83,255.45,0,100000.00,0.00
2025-08-01,263.07,274.00,292.97,255.04,0,100000.00,0.00
2025-08-04,266.48,274.28,292.62,255.94,0,100000.00,0.00
2025-08-05,265.70,274.40,292.49,256.32,0,100000.00,0.00
2025-08-06,265.00,274.11,292.60,255.63,0,100000.00,0.00
2025-08-07,263.05,273.67,292.76,254.57,0,100000.00,0.00
2025-08-08,263.48,273.26,292.85,253.68,0,100000.00,0.00
2025-08-11,263.66,273.02,292.96,253.09,0,100000.00,0.00
2025-08-12,263.25,272.80,293.06,252.53,0,100000.00,0.00
2025-08-13,273.60,273.26,293.15,253.36,0,100000.00,0.00
2025-08-14,279.89,273.98,293.74,254.22,0,100000.00,0.00
2025-08-15,280.67,274.45,294.38,254.52,0,100000.00,0.00
2025-08-18,283.00,274.62,294.77,254.47,0,100000.00,0.00
2025-08-19,277.80,274.18,293.63,254.72,0,100000.00,0.00
2025-08-20,279.20,273.78,292.49,255.08,0,100000.00,0.00
2025-08-21,279.00,273.47,291.61,255.34,0,100000.00,0.00
2025-08-22,287.18,273.69,292.37,255.02,0,100000.00,0.00
2025-08-25,290.28,273.89,293.18,254.61,0,100000.00,0.00
2025-08-26,289.50,273.78,292.65,254.90,0,100000.00,0.00
2025-08-27,278.30,273.84,292.76,254.91,0,100000.00,0.00
2025-08-28,277.41,274.48,292.97,255.98,0,100000.00,0.00
2025-08-29,306.18,276.63,298.96,254.30,0,100000.00,0.00
2025-09-01,304.00,278.51,303.28,253.74,0,100000.00,0.00
2025-09-02,302.87,280.37,306.55,254.18,0,100000.00,0.00
2025-09-03,309.00,282.57,310.55,254.58,0,100000.00,0.00
2025-09-04,304.03,284.62,312.58,256.65,0,100000.00,0.00
2025-09-05,325.11,287.70,319.05,256.34,0,100000.00,0.00
2025-09-08,325.37,290.78,324.15,257.42,0,100000.00,0.00
2025-09-09,320.00,293.62,326.79,260.45,0,100000.00,0.00
2025-09-10,316.04,295.74,328.94,262.54,0,100000.00,0.00
2025-09-11,322.55,297.87,332.19,263.56,0,100000.00,0.00
2025-09-12,325.00,300.09,335.39,264.79,0,100000.00,0.00
2025-09-15,354.70,303.68,345.30,262.05,0,100000.00,0.00
2025-09-16,353.42,307.46,352.58,262.33,0,100000.00,0.00
2025-09-17,377.10,312.35,364.80,259.90,0,100000.00,0.00
2025-09-18,366.89,316.75,371.94,261.56,0,100000.00,0.00
2025-09-19,368.49,320.81,378.61,263.01,0,100000.00,0.00
2025-09-22,370.05,324.80,384.60,265.01,0,100000.00,0.00
2025-09-23,368.15,328.73,389.07,268.40,0,100000.00,0.00
2025-09-24,379.93,333.81,393.42,274.21,0,100000.00,0.00
2025-09-25,392.85,339.59,398.58,280.60,0,100000.00,0.00
2025-09-26,380.40,343.30,402.75,283.84,0,100000.00,0.00
2025-09-29,397.37,347.97,408.99,286.95,0,100000.00,0.00
2025-09-30,402.00,352.92,414.59,291.26,0,100000.00,0.00
2025-10-09,409.89,357.97,420.93,295.01,0,100000.00,0.00
2025-10-10,381.95,361.86,420.48,303.24,0,100000.00,0.00
2025-10-13,374.50,364.33,420.67,308.00,0,100000.00,0.00
2025-10-14,358.00,365.96,419.51,312.42,0,100000.00,0.00
2025-10-15,369.30,368.43,417.65,319.21,0,100000.00,0.00
